time,fsr1,fsr2,fsr3,fsr4,label
0.0,3469,0,0,3878,hard_ground_16
0.0,3469,0,0,3880,hard_ground_16
0.0,3473,0,0,3877,hard_ground_16
0.0,3467,0,0,3877,hard_ground_16
0.0,3467,0,0,3879,hard_ground_16
0.002,3470,0,0,3879,hard_ground_16
0.002,3469,0,0,3879,hard_ground_16
0.002,3468,0,0,3887,hard_ground_16
0.002,3462,0,0,3874,hard_ground_16
0.002,3474,0,0,3877,hard_ground_16
0.002,3464,0,0,3878,hard_ground_16
0.002,3471,0,0,3878,hard_ground_16
0.002,3473,0,0,3874,hard_ground_16
0.002,3472,0,0,3880,hard_ground_16
0.002,3468,0,0,3879,hard_ground_16
0.002,3466,0,0,3880,hard_ground_16
0.004,3468,0,0,3883,hard_ground_16
0.004,3468,0,0,3883,hard_ground_16
0.004,3470,0,0,3878,hard_ground_16
0.014,3476,0,0,3883,hard_ground_16
0.014,3471,0,0,3875,hard_ground_16
0.014,3476,0,0,3880,hard_ground_16
0.015,3504,0,0,3886,hard_ground_16
0.015,3503,0,0,3879,hard_ground_16
0.015,3508,0,0,3873,hard_ground_16
0.015,3503,0,0,3881,hard_ground_16
0.015,3510,0,0,3882,hard_ground_16
0.015,3504,0,0,3884,hard_ground_16
0.015,3512,0,0,3884,hard_ground_16
0.015,3506,0,0,3885,hard_ground_16
0.015,3505,0,0,3876,hard_ground_16
0.015,3505,0,0,3883,hard_ground_16
0.015,3505,0,0,3883,hard_ground_16
0.015,3504,0,0,3881,hard_ground_16
0.015,3512,0,0,3881,hard_ground_16
0.015,3509,0,0,3882,hard_ground_16
0.015,3511,0,0,3879,hard_ground_16
0.015,3509,0,0,3885,hard_ground_16
0.015,3510,0,0,3876,hard_ground_16
0.015,3506,0,0,3882,hard_ground_16
0.015,3507,0,0,3883,hard_ground_16
0.015,3510,0,0,3882,hard_ground_16
0.015,3507,0,0,3886,hard_ground_16
0.015,3509,0,0,3882,hard_ground_16
0.015,3505,0,0,3882,hard_ground_16
0.02,3507,0,0,3884,hard_ground_16
0.02,3511,0,0,3883,hard_ground_16
0.02,3513,0,0,3878,hard_ground_16
0.02,3508,0,0,3883,hard_ground_16
0.02,3505,0,0,3879,hard_ground_16
0.02,3511,0,0,3881,hard_ground_16
0.02,3510,0,0,3879,hard_ground_16
0.02,3508,0,0,3885,hard_ground_16
0.02,3511,0,0,3883,hard_ground_16
0.02,3505,0,0,3879,hard_ground_16
0.02,3509,0,0,3888,hard_ground_16
0.02,3508,0,0,3880,hard_ground_16
0.02,3508,0,0,3881,hard_ground_16
0.02,3505,0,0,3879,hard_ground_16
0.02,3503,0,0,3884,hard_ground_16
0.02,3506,0,0,3884,hard_ground_16
0.02,3511,0,0,3876,hard_ground_16
0.02,3506,0,0,3886,hard_ground_16
0.02,3513,0,0,3881,hard_ground_16
0.02,3513,0,0,3883,hard_ground_16
0.02,3504,0,0,3886,hard_ground_16
0.02,3514,0,0,3885,hard_ground_16
0.02,3509,0,0,3885,hard_ground_16
0.02,3510,0,0,3884,hard_ground_16
0.02,3511,0,0,3885,hard_ground_16
0.02,3510,0,0,3884,hard_ground_16
0.02,3507,0,0,3884,hard_ground_16
0.02,3510,0,0,3883,hard_ground_16
0.02,3510,0,0,3884,hard_ground_16
0.02,3504,0,0,3879,hard_ground_16
0.02,3505,0,0,3875,hard_ground_16
0.025,3507,0,0,3885,hard_ground_16
0.025,3512,0,0,3885,hard_ground_16
0.025,3514,0,0,3882,hard_ground_16
0.025,3506,0,0,3879,hard_ground_16
0.026,3501,0,0,3882,hard_ground_16
0.026,3512,0,0,3887,hard_ground_16
0.026,3520,0,0,3888,hard_ground_16
0.026,3514,0,0,3886,hard_ground_16
0.026,3512,0,0,3885,hard_ground_16
0.026,3508,0,0,3884,hard_ground_16
0.026,3515,0,0,3888,hard_ground_16
0.026,3514,0,0,3884,hard_ground_16
0.026,3509,0,0,3887,hard_ground_16
0.026,3506,0,0,3881,hard_ground_16
0.026,3513,0,0,3883,hard_ground_16
0.026,3508,0,0,3886,hard_ground_16
0.026,3515,0,0,3888,hard_ground_16
0.026,3512,0,0,3891,hard_ground_16
0.026,3507,0,0,3883,hard_ground_16
0.026,3516,0,0,3882,hard_ground_16
0.026,3514,0,0,3886,hard_ground_16
0.026,3513,0,0,3887,hard_ground_16
0.026,3507,0,0,3884,hard_ground_16
0.026,3511,0,0,3879,hard_ground_16
0.026,3516,0,0,3884,hard_ground_16
0.026,3513,0,0,3884,hard_ground_16
0.026,3510,0,0,3886,hard_ground_16
0.026,3510,0,0,3886,hard_ground_16
0.03,3509,0,0,3880,hard_ground_16
0.03,3511,0,0,3887,hard_ground_16
0.03,3515,0,0,3886,hard_ground_16
0.03,3512,0,0,3889,hard_ground_16
0.03,3510,0,0,3884,hard_ground_16
0.03,3514,0,0,3889,hard_ground_16
0.03,3515,0,0,3889,hard_ground_16
0.03,3512,0,0,3886,hard_ground_16
0.03,3514,0,0,3886,hard_ground_16
0.03,3504,0,0,3885,hard_ground_16
0.03,3511,0,0,3878,hard_ground_16
0.03,3512,0,0,3882,hard_ground_16
0.03,3514,0,0,3885,hard_ground_16
0.03,3503,0,0,3885,hard_ground_16
0.03,3513,0,0,3892,hard_ground_16
0.03,3509,0,0,3883,hard_ground_16
0.033,3507,0,0,3882,hard_ground_16
0.033,3511,0,0,3878,hard_ground_16
0.033,3503,0,0,3884,hard_ground_16
0.033,3505,0,0,3886,hard_ground_16
0.033,3506,0,0,3885,hard_ground_16
0.033,3511,0,0,3889,hard_ground_16
0.033,3512,0,0,3886,hard_ground_16
0.033,3503,0,0,3879,hard_ground_16
0.033,3511,0,0,3887,hard_ground_16
0.033,3512,0,0,3886,hard_ground_16
0.035,3510,0,0,3887,hard_ground_16
0.035,3504,0,0,3885,hard_ground_16
0.035,3508,0,0,3883,hard_ground_16
0.035,3513,0,0,3892,hard_ground_16
0.035,3511,0,0,3884,hard_ground_16
0.035,3512,0,0,3889,hard_ground_16
0.035,3514,0,0,3887,hard_ground_16
0.035,3515,0,0,3889,hard_ground_16
0.035,3508,0,0,3888,hard_ground_16
0.035,3506,0,0,3886,hard_ground_16
0.035,3509,0,0,3892,hard_ground_16
0.035,3512,0,0,3888,hard_ground_16
0.035,3517,0,0,3884,hard_ground_16
0.035,3511,0,0,3888,hard_ground_16
0.035,3509,0,0,3889,hard_ground_16
0.035,3513,0,0,3887,hard_ground_16
0.035,3513,0,0,3886,hard_ground_16
0.035,3511,0,0,3885,hard_ground_16
0.035,3516,0,0,3890,hard_ground_16
0.035,3502,0,0,3889,hard_ground_16
0.035,3510,0,0,3894,hard_ground_16
0.035,3514,0,0,3890,hard_ground_16
0.035,3510,0,0,3891,hard_ground_16
0.035,3512,0,0,3890,hard_ground_16
0.035,3509,0,0,3889,hard_ground_16
0.035,3514,0,0,3889,hard_ground_16
0.035,3510,0,0,3891,hard_ground_16
0.035,3512,0,0,3889,hard_ground_16
0.035,3511,0,0,3883,hard_ground_16
0.039,3513,0,0,3889,hard_ground_16
0.04,3507,0,0,3886,hard_ground_16
0.04,3507,0,0,3887,hard_ground_16
0.04,3513,0,0,3887,hard_ground_16
0.04,3509,0,0,3888,hard_ground_16
0.04,3511,0,0,3891,hard_ground_16
0.04,3516,0,0,3886,hard_ground_16
0.04,3509,0,0,3887,hard_ground_16
0.04,3505,0,0,3887,hard_ground_16
0.04,3515,0,0,3892,hard_ground_16
0.04,3512,0,0,3888,hard_ground_16
0.04,3510,0,0,3887,hard_ground_16
0.04,3507,0,0,3888,hard_ground_16
0.04,3503,0,0,3888,hard_ground_16
0.04,3510,0,0,3887,hard_ground_16
0.04,3508,0,0,3887,hard_ground_16
0.04,3506,0,0,3889,hard_ground_16
0.04,3503,0,0,3889,hard_ground_16
0.04,3514,0,0,3892,hard_ground_16
0.04,3514,0,0,3890,hard_ground_16
0.04,3509,0,0,3894,hard_ground_16
0.04,3505,0,0,3888,hard_ground_16
0.04,3502,0,0,3887,hard_ground_16
0.04,3507,0,0,3891,hard_ground_16
0.04,3513,0,0,3887,hard_ground_16
0.04,3504,0,0,3888,hard_ground_16
0.04,3504,0,0,3889,hard_ground_16
0.04,3504,0,0,3893,hard_ground_16
0.04,3510,0,0,3890,hard_ground_16
0.045,3513,0,0,3885,hard_ground_16
0.045,3510,0,0,3882,hard_ground_16
0.045,3507,0,0,3887,hard_ground_16
0.045,3510,0,0,3891,hard_ground_16
0.045,3506,0,0,3890,hard_ground_16
0.045,3509,0,0,3885,hard_ground_16
0.045,3508,0,0,3889,hard_ground_16
0.045,3506,0,0,3887,hard_ground_16
0.045,3510,0,0,3892,hard_ground_16
0.045,3505,0,0,3892,hard_ground_16
0.047,3507,0,0,3883,hard_ground_16
0.047,3507,0,0,3892,hard_ground_16
0.047,3507,0,0,3885,hard_ground_16
0.047,3508,0,0,3889,hard_ground_16
0.047,3507,0,0,3885,hard_ground_16
0.047,3510,0,0,3886,hard_ground_16
0.047,3505,0,0,3887,hard_ground_16
0.047,3514,0,0,3890,hard_ground_16
0.047,3508,0,0,3889,hard_ground_16
0.047,3510,0,0,3890,hard_ground_16
0.047,3510,0,0,3890,hard_ground_16
0.047,3516,0,0,3888,hard_ground_16
0.047,3512,0,0,3889,hard_ground_16
0.047,3515,0,0,3889,hard_ground_16
0.047,3512,0,0,3895,hard_ground_16
0.047,3511,0,0,3888,hard_ground_16
0.047,3512,0,0,3885,hard_ground_16
0.047,3511,0,0,3888,hard_ground_16
0.05,3504,0,0,3889,hard_ground_16
0.05,3513,0,0,3891,hard_ground_16
0.05,3514,0,0,3883,hard_ground_16
0.05,3511,0,0,3886,hard_ground_16
0.05,3516,0,0,3889,hard_ground_16
0.05,3512,0,0,3888,hard_ground_16
0.05,3515,0,0,3883,hard_ground_16
0.05,3514,0,0,3890,hard_ground_16
0.05,3512,0,0,3890,hard_ground_16
0.05,3508,0,0,3890,hard_ground_16
0.05,3519,0,0,3895,hard_ground_16
0.05,3510,0,0,3890,hard_ground_16
0.05,3510,0,0,3894,hard_ground_16
0.05,3507,0,0,3892,hard_ground_16
0.05,3514,0,0,3889,hard_ground_16
0.05,3519,0,0,3892,hard_ground_16
0.05,3518,0,0,3891,hard_ground_16
0.05,3513,0,0,3890,hard_ground_16
0.05,3517,0,0,3893,hard_ground_16
0.05,3511,0,0,3889,hard_ground_16
0.05,3514,0,0,3890,hard_ground_16
0.053,3516,0,0,3889,hard_ground_16
0.054,3515,0,0,3891,hard_ground_16
0.054,3514,0,0,3891,hard_ground_16
0.054,3509,0,0,3890,hard_ground_16
0.054,3511,0,0,3890,hard_ground_16
0.055,3517,0,0,3891,hard_ground_16
0.055,3511,0,0,3890,hard_ground_16
0.055,3514,0,0,3891,hard_ground_16
0.055,3512,0,0,3893,hard_ground_16
0.055,3514,0,0,3889,hard_ground_16
0.055,3510,0,0,3889,hard_ground_16
0.055,3516,0,0,3891,hard_ground_16
0.055,3515,0,0,3884,hard_ground_16
0.055,3513,0,0,3887,hard_ground_16
0.055,3512,0,0,3892,hard_ground_16
0.055,3515,0,0,3888,hard_ground_16
0.055,3511,0,0,3889,hard_ground_16
0.055,3504,0,0,3890,hard_ground_16
0.055,3512,0,0,3893,hard_ground_16
0.055,3515,0,0,3889,hard_ground_16
0.055,3512,0,0,3897,hard_ground_16
0.055,3514,0,0,3889,hard_ground_16
0.055,3509,0,0,3888,hard_ground_16
0.055,3514,0,0,3892,hard_ground_16
0.055,3508,0,0,3886,hard_ground_16
0.055,3511,0,0,3889,hard_ground_16
0.055,3507,0,0,3884,hard_ground_16
0.055,3508,0,0,3889,hard_ground_16
0.055,3515,0,0,3889,hard_ground_16
0.055,3519,0,0,3893,hard_ground_16
0.055,3506,0,0,3889,hard_ground_16
0.055,3502,0,0,3890,hard_ground_16
0.055,3503,0,0,3890,hard_ground_16
0.055,3513,0,0,3891,hard_ground_16
0.055,3512,0,0,3888,hard_ground_16
0.055,3511,0,0,3884,hard_ground_16
