time,fsr1,fsr2,fsr3,fsr4,label
0.0,0,1534,0,3977,hard_ground_3
0.0,0,1531,0,3976,hard_ground_3
0.0,0,1537,0,3979,hard_ground_3
0.003,0,1569,0,3980,hard_ground_3
0.003,0,1563,0,3978,hard_ground_3
0.003,0,1566,0,3977,hard_ground_3
0.003,0,1570,0,3981,hard_ground_3
0.003,0,1573,0,3978,hard_ground_3
0.003,0,1567,0,3977,hard_ground_3
0.003,0,1558,0,3976,hard_ground_3
0.003,0,1556,0,3977,hard_ground_3
0.003,0,1553,0,3981,hard_ground_3
0.003,0,1555,0,3976,hard_ground_3
0.003,0,1557,0,3979,hard_ground_3
0.005,0,1553,0,3983,hard_ground_3
0.005,0,1555,0,3981,hard_ground_3
0.005,0,1561,0,3979,hard_ground_3
0.005,0,1558,0,3982,hard_ground_3
0.005,0,1570,0,3975,hard_ground_3
0.005,0,1561,0,3980,hard_ground_3
0.006,0,1566,0,3981,hard_ground_3
0.006,0,1562,0,3976,hard_ground_3
0.007,0,1560,0,3983,hard_ground_3
0.007,0,1561,0,3977,hard_ground_3
0.007,0,1559,0,3982,hard_ground_3
0.007,0,1558,0,3979,hard_ground_3
0.007,0,1572,0,3976,hard_ground_3
0.007,0,1580,0,3977,hard_ground_3
0.007,0,1576,0,3981,hard_ground_3
0.007,0,1583,0,3978,hard_ground_3
0.007,0,1585,0,3982,hard_ground_3
0.007,0,1578,0,3981,hard_ground_3
0.007,0,1574,0,3979,hard_ground_3
0.007,0,1580,0,3980,hard_ground_3
0.007,0,1586,0,3981,hard_ground_3
0.007,0,1588,0,3978,hard_ground_3
0.007,0,1587,0,3979,hard_ground_3
0.007,0,1585,0,3978,hard_ground_3
0.007,0,1591,0,3980,hard_ground_3
0.009,0,1591,0,3975,hard_ground_3
0.009,0,1596,0,3979,hard_ground_3
0.009,0,1593,0,3979,hard_ground_3
0.009,0,1592,0,3977,hard_ground_3
0.009,0,1598,0,3987,hard_ground_3
0.009,0,1601,0,3986,hard_ground_3
0.009,0,1600,0,3980,hard_ground_3
0.01,0,1598,0,3977,hard_ground_3
0.011,0,1600,0,3979,hard_ground_3
0.011,0,1592,0,3979,hard_ground_3
0.011,0,1599,0,3977,hard_ground_3
0.011,0,1593,0,3975,hard_ground_3
0.011,0,1591,0,3974,hard_ground_3
0.011,0,1595,0,3975,hard_ground_3
0.013,0,1588,0,3978,hard_ground_3
0.013,0,1600,0,3977,hard_ground_3
0.013,0,1605,0,3981,hard_ground_3
0.013,0,1600,0,3980,hard_ground_3
0.013,0,1593,0,3979,hard_ground_3
0.013,0,1594,0,3979,hard_ground_3
0.013,0,1602,0,3979,hard_ground_3
0.013,0,1601,0,3981,hard_ground_3
0.013,0,1597,0,3977,hard_ground_3
0.013,0,1598,0,3982,hard_ground_3
0.013,0,1610,0,3980,hard_ground_3
0.015,0,1605,0,3981,hard_ground_3
0.015,0,1601,0,3978,hard_ground_3
0.015,0,1584,0,3979,hard_ground_3
0.015,0,1602,0,3973,hard_ground_3
0.015,0,1601,0,3982,hard_ground_3
0.015,0,1602,0,3977,hard_ground_3
0.016,0,1606,0,3978,hard_ground_3
0.016,0,1606,0,3978,hard_ground_3
0.016,0,1607,0,3981,hard_ground_3
0.016,0,1595,0,3980,hard_ground_3
0.016,0,1599,0,3978,hard_ground_3
0.016,0,1600,0,3978,hard_ground_3
0.016,0,1604,0,3981,hard_ground_3
0.016,0,1606,0,3977,hard_ground_3
0.016,0,1599,0,3982,hard_ground_3
0.016,0,1605,0,3978,hard_ground_3
0.016,0,1609,0,3979,hard_ground_3
0.016,0,1609,0,3977,hard_ground_3
0.016,0,1610,0,3980,hard_ground_3
0.016,0,1605,0,3981,hard_ground_3
0.016,0,1605,0,3980,hard_ground_3
0.016,0,1598,0,3976,hard_ground_3
0.016,0,1606,0,3981,hard_ground_3
0.016,0,1597,0,3982,hard_ground_3
0.016,0,1601,0,3981,hard_ground_3
0.016,0,1601,0,3988,hard_ground_3
0.016,0,1602,0,3976,hard_ground_3
0.016,0,1587,0,3979,hard_ground_3
0.016,0,1591,0,3979,hard_ground_3
0.016,0,1597,0,3978,hard_ground_3
0.016,0,1599,0,3981,hard_ground_3
0.016,0,1605,0,3976,hard_ground_3
0.021,0,1596,0,3980,hard_ground_3
0.021,0,1595,0,3976,hard_ground_3
0.021,0,1589,0,3984,hard_ground_3
0.021,0,1596,0,3978,hard_ground_3
0.021,0,1592,0,3978,hard_ground_3
0.021,0,1598,0,3982,hard_ground_3
0.021,0,1603,0,3978,hard_ground_3
0.021,0,1601,0,3980,hard_ground_3
0.021,0,1596,0,3983,hard_ground_3
0.021,0,1594,0,3977,hard_ground_3
0.021,0,1590,0,3976,hard_ground_3
0.021,0,1588,0,3981,hard_ground_3
0.021,0,1590,0,3979,hard_ground_3
0.021,0,1592,0,3976,hard_ground_3
0.021,0,1597,0,3978,hard_ground_3
0.024,0,1594,0,3981,hard_ground_3
0.024,0,1596,0,3981,hard_ground_3
0.024,0,1603,0,3979,hard_ground_3
0.024,0,1594,0,3979,hard_ground_3
0.024,0,1604,0,3979,hard_ground_3
0.024,0,1606,0,3983,hard_ground_3
0.025,0,1606,0,3978,hard_ground_3
0.025,0,1604,0,3980,hard_ground_3
0.025,0,1603,0,3979,hard_ground_3
0.025,0,1596,0,3974,hard_ground_3
0.025,0,1596,0,3983,hard_ground_3
0.025,0,1599,0,3980,hard_ground_3
0.025,0,1597,0,3970,hard_ground_3
0.025,0,1600,0,3975,hard_ground_3
0.025,0,1590,0,3980,hard_ground_3
0.025,0,1580,0,3979,hard_ground_3
0.025,0,1580,0,3974,hard_ground_3
0.025,0,1583,0,3980,hard_ground_3
0.025,0,1583,0,3978,hard_ground_3
0.025,0,1571,0,3980,hard_ground_3
0.025,0,1579,0,3976,hard_ground_3
0.028,0,1575,0,3985,hard_ground_3
0.028,0,1579,0,3986,hard_ground_3
0.028,0,1574,0,3976,hard_ground_3
0.028,0,1587,0,3979,hard_ground_3
0.028,0,1588,0,3981,hard_ground_3
0.028,0,1582,0,3981,hard_ground_3
0.028,0,1580,0,3982,hard_ground_3
0.028,0,1577,0,3980,hard_ground_3
0.028,0,1580,0,3979,hard_ground_3
0.028,0,1571,0,3979,hard_ground_3
0.028,0,1581,0,3979,hard_ground_3
0.028,0,1581,0,3980,hard_ground_3
0.028,0,1568,0,3981,hard_ground_3
0.03,0,1579,0,3983,hard_ground_3
0.03,0,1576,0,3986,hard_ground_3
0.03,0,1584,0,3981,hard_ground_3
0.03,0,1588,0,3983,hard_ground_3
0.03,0,1579,0,3978,hard_ground_3
0.03,0,1522,0,3978,hard_ground_3
0.03,0,1287,0,3978,hard_ground_3
0.03,0,1336,0,3978,hard_ground_3
0.03,0,1233,0,3978,hard_ground_3
0.03,0,1276,0,3977,hard_ground_3
0.03,0,1100,0,3980,hard_ground_3
