time,fsr1,fsr2,fsr3,fsr4,label
0.002,2539,0,0,2902,hard
0.002,2539,0,0,2895,hard
0.002,2543,0,0,2904,hard
0.002,2541,0,0,2898,hard
0.002,2539,0,0,2898,hard
0.002,2543,0,0,2900,hard
0.002,2550,0,0,2902,hard
0.002,2546,0,0,2900,hard
0.002,2536,0,0,2895,hard
0.002,2539,0,0,2897,hard
0.002,2543,0,0,2901,hard
0.002,2542,0,0,2904,hard
0.002,2541,0,0,2901,hard
0.002,2542,0,0,2906,hard
0.002,2538,0,0,2901,hard
0.002,2543,0,0,2899,hard
0.002,2542,0,0,2899,hard
0.002,2542,0,0,2906,hard
0.008,2538,0,0,2897,hard
0.008,2538,0,0,2900,hard
0.008,2543,0,0,2899,hard
0.008,2543,0,0,2898,hard
0.009,2543,0,0,2905,hard
0.009,2541,0,0,2901,hard
0.009,2540,0,0,2910,hard
0.009,2536,0,0,2905,hard
0.009,2540,0,0,2910,hard
0.009,2546,0,0,2906,hard
0.009,2543,0,0,2902,hard
0.009,2541,0,0,2907,hard
0.009,2544,0,0,2915,hard
0.009,2545,0,0,2915,hard
0.009,2545,0,0,2920,hard
0.009,2538,0,0,2921,hard
0.009,2537,0,0,2924,hard
0.009,2538,0,0,2922,hard
0.009,2543,0,0,2924,hard
0.009,2543,0,0,2922,hard
0.009,2544,0,0,2920,hard
0.009,2543,0,0,2919,hard
0.009,2538,0,0,2921,hard
0.009,2542,0,0,2926,hard
0.009,2542,0,0,2922,hard
0.009,2544,0,0,2936,hard
0.013,2540,0,0,2932,hard
0.013,2541,0,0,2926,hard
0.013,2541,0,0,2925,hard
0.013,2542,0,0,2930,hard
0.014,2540,0,0,2927,hard
0.014,2541,0,0,2920,hard
0.014,2540,0,0,2926,hard
0.014,2544,0,0,2930,hard
0.014,2543,0,0,2928,hard
0.014,2538,0,0,2939,hard
0.014,2540,0,0,2930,hard
0.014,2534,0,0,2928,hard
0.014,2544,0,0,2932,hard
0.014,2549,0,0,2938,hard
0.014,2544,0,0,2927,hard
0.014,2539,0,0,2935,hard
0.014,2539,0,0,2932,hard
0.014,2545,0,0,2929,hard
0.014,2549,0,0,2927,hard
0.014,2544,0,0,2938,hard
0.014,2548,0,0,2926,hard
