time,fsr1,fsr2,fsr3,fsr4,label
0.001,3581,0,0,3838,grass
0.002,3581,0,0,3835,grass
0.002,3591,0,0,3846,grass
0.002,3587,0,0,3836,grass
0.002,3588,0,0,3838,grass
0.002,3591,0,0,3838,grass
0.002,3589,0,0,3840,grass
0.002,3594,0,0,3841,grass
0.002,3591,0,0,3840,grass
0.002,3589,0,0,3839,grass
0.002,3592,0,0,3840,grass
0.004,3590,0,0,3840,grass
0.004,3584,0,0,3843,grass
0.004,3582,0,0,3840,grass
0.004,3586,0,0,3841,grass
0.009,3586,0,0,3842,grass
0.009,3589,0,0,3839,grass
0.009,3589,0,0,3843,grass
0.009,3588,0,0,3835,grass
0.009,3591,0,0,3841,grass
0.009,3592,0,0,3837,grass
0.009,3588,0,0,3840,grass
0.009,3589,0,0,3842,grass
0.009,3591,0,0,3843,grass
0.009,3591,0,0,3841,grass
0.009,3592,0,0,3840,grass
0.009,3584,0,0,3840,grass
0.009,3593,0,0,3844,grass
0.012,3589,0,0,3840,grass
0.012,3592,0,0,3842,grass
0.012,3589,0,0,3851,grass
0.012,3591,0,0,3837,grass
0.012,3589,0,0,3843,grass
0.012,3587,0,0,3840,grass
0.012,3590,0,0,3842,grass
0.012,3590,0,0,3840,grass
0.012,3586,0,0,3839,grass
0.012,3589,0,0,3845,grass
0.012,3589,0,0,3844,grass
0.012,3591,0,0,3841,grass
0.014,3591,0,0,3841,grass
0.014,3590,0,0,3840,grass
0.014,3589,0,0,3847,grass
0.014,3591,0,0,3842,grass
0.015,3595,0,0,3839,grass
0.015,3590,0,0,3841,grass
0.015,3593,0,0,3841,grass
0.015,3593,0,0,3843,grass
0.015,3593,0,0,3841,grass
0.015,3596,0,0,3839,grass
0.015,3601,0,0,3842,grass
0.015,3593,0,0,3846,grass
0.017,3595,0,0,3843,grass
0.017,3593,0,0,3840,grass
0.017,3587,0,0,3843,grass
0.017,3589,0,0,3841,grass
0.017,3593,0,0,3842,grass
0.017,3591,0,0,3840,grass
0.017,3596,0,0,3839,grass
0.017,3598,0,0,3842,grass
0.017,3593,0,0,3838,grass
0.017,3593,0,0,3843,grass
0.017,3594,0,0,3843,grass
0.017,3594,0,0,3844,grass
0.017,3593,0,0,3839,grass
0.017,3595,0,0,3838,grass
0.017,3592,0,0,3844,grass
0.017,3597,0,0,3839,grass
0.017,3593,0,0,3842,grass
0.02,3592,0,0,3830,grass
0.02,3589,0,0,3839,grass
0.02,3593,0,0,3843,grass
0.021,3591,0,0,3843,grass
0.021,3590,0,0,3845,grass
0.021,3594,0,0,3841,grass
0.021,3586,0,0,3829,grass
0.021,3592,0,0,3841,grass
0.021,3595,0,0,3845,grass
0.021,3594,0,0,3842,grass
0.021,3596,0,0,3843,grass
0.021,3596,0,0,3849,grass
0.021,3590,0,0,3833,grass
0.021,3599,0,0,3843,grass
0.021,3589,0,0,3844,grass
0.021,3594,0,0,3842,grass
0.021,3598,0,0,3836,grass
0.021,3595,0,0,3850,grass
0.021,3594,0,0,3849,grass
0.021,3594,0,0,3847,grass
0.021,3594,0,0,3845,grass
0.021,3596,0,0,3842,grass
0.021,3597,0,0,3840,grass
0.021,3597,0,0,3848,grass
0.021,3599,0,0,3844,grass
0.021,3595,0,0,3843,grass
0.021,3595,0,0,3845,grass
0.021,3594,0,0,3845,grass
0.021,3596,0,0,3842,grass
0.021,3596,0,0,3849,grass
0.021,3595,0,0,3844,grass
0.025,3594,0,0,3845,grass
0.025,3590,0,0,3843,grass
0.025,3595,0,0,3844,grass
0.025,3595,0,0,3843,grass
0.025,3592,0,0,3848,grass
0.025,3593,0,0,3842,grass
0.025,3596,0,0,3845,grass
0.025,3597,0,0,3847,grass
0.026,3589,0,0,3846,grass
0.026,3597,0,0,3849,grass
0.026,3596,0,0,3852,grass
0.026,3594,0,0,3844,grass
0.026,3587,0,0,3843,grass
0.026,3595,0,0,3843,grass
0.026,3597,0,0,3846,grass
0.026,3594,0,0,3844,grass
0.026,3588,0,0,3839,grass
0.026,3596,0,0,3843,grass
0.026,3590,0,0,3842,grass
0.026,3597,0,0,3850,grass
0.026,3602,0,0,3845,grass
0.026,3595,0,0,3849,grass
0.026,3596,0,0,3847,grass
0.026,3595,0,0,3846,grass
0.026,3597,0,0,3845,grass
0.026,3597,0,0,3847,grass
0.026,3597,0,0,3844,grass
0.03,3596,0,0,3853,grass
0.03,3594,0,0,3845,grass
0.03,3589,0,0,3845,grass
0.03,3595,0,0,3844,grass
0.03,3595,0,0,3847,grass
0.03,3594,0,0,3847,grass
0.03,3598,0,0,3847,grass
0.03,3592,0,0,3850,grass
0.03,3588,0,0,3850,grass
0.03,3595,0,0,3845,grass
0.03,3597,0,0,3846,grass
0.03,3595,0,0,3849,grass
0.03,3599,0,0,3852,grass
0.03,3596,0,0,3848,grass
0.03,3595,0,0,3848,grass
0.03,3593,0,0,3856,grass
0.03,3599,0,0,3841,grass
0.033,3592,0,0,3845,grass
0.033,3595,0,0,3848,grass
0.033,3592,0,0,3851,grass
0.033,3592,0,0,3846,grass
0.033,3590,0,0,3847,grass
0.033,3592,0,0,3848,grass
0.033,3593,0,0,3846,grass
0.033,3590,0,0,3854,grass
0.033,3588,0,0,3844,grass
0.035,3584,0,0,3845,grass
0.035,3589,0,0,3849,grass
0.035,3586,0,0,3843,grass
0.035,3587,0,0,3847,grass
0.035,3580,0,0,3850,grass
0.035,3575,0,0,3848,grass
0.035,3572,0,0,3847,grass
0.035,3581,0,0,3850,grass
0.035,3571,0,0,3856,grass
0.035,3576,0,0,3847,grass
0.035,3589,0,0,3849,grass
0.035,3592,0,0,3854,grass
0.035,3588,0,0,3849,grass
0.035,3590,0,0,3850,grass
0.035,3587,0,0,3850,grass
0.035,3589,0,0,3847,grass
0.035,3591,0,0,3854,grass
0.035,3588,0,0,3848,grass
0.035,3592,0,0,3848,grass
0.035,3595,0,0,3852,grass
0.035,3596,0,0,3849,grass
0.035,3598,0,0,3854,grass
0.035,3588,0,0,3845,grass
0.035,3594,0,0,3850,grass
0.035,3597,0,0,3852,grass
0.035,3591,0,0,3847,grass
0.035,3592,0,0,3854,grass
0.035,3588,0,0,3843,grass
0.035,3575,0,0,3850,grass
0.035,3576,0,0,3854,grass
0.035,3571,0,0,3849,grass
0.035,3572,0,0,3851,grass
0.041,3574,0,0,3849,grass
0.041,3572,0,0,3851,grass
0.041,3579,0,0,3852,grass
0.041,3587,0,0,3852,grass
0.041,3582,0,0,3850,grass
0.041,3583,0,0,3857,grass
0.041,3602,0,0,3853,grass
0.041,3604,0,0,3852,grass
0.041,3606,0,0,3855,grass
0.041,3605,0,0,3846,grass
0.041,3604,0,0,3854,grass
0.041,3603,0,0,3852,grass
0.041,3603,0,0,3856,grass
0.041,3606,0,0,3852,grass
0.041,3598,0,0,3853,grass
0.041,3603,0,0,3853,grass
0.041,3603,0,0,3853,grass
0.041,3602,0,0,3853,grass
0.041,3597,0,0,3851,grass
0.041,3600,0,0,3854,grass
0.041,3604,0,0,3849,grass
0.041,3598,0,0,3859,grass
0.041,3604,0,0,3857,grass
0.041,3604,0,0,3844,grass
0.041,3604,0,0,3857,grass
0.045,3599,0,0,3854,grass
0.045,3603,0,0,3853,grass
0.045,3602,0,0,3850,grass
0.045,3605,0,0,3855,grass
0.045,3608,0,0,3847,grass
0.045,3604,0,0,3854,grass
0.045,3614,0,0,3858,grass
0.045,3608,0,0,3853,grass
0.045,3607,0,0,3854,grass
0.045,3608,0,0,3857,grass
0.045,3606,0,0,3853,grass
0.045,3604,0,0,3853,grass
0.045,3601,0,0,3854,grass
0.045,3604,0,0,3854,grass
0.045,3609,0,0,3857,grass
0.047,3610,0,0,3847,grass
0.047,3602,0,0,3851,grass
0.047,3603,0,0,3850,grass
0.047,3603,0,0,3855,grass
0.047,3596,0,0,3851,grass
0.047,3603,0,0,3853,grass
0.047,3605,0,0,3855,grass
0.047,3605,0,0,3852,grass
0.047,3604,0,0,3851,grass
0.047,3607,0,0,3850,grass
0.047,3605,0,0,3848,grass
0.047,3606,0,0,3855,grass
0.047,3613,0,0,3855,grass
0.047,3613,0,0,3855,grass
0.05,3610,0,0,3855,grass
0.05,3615,0,0,3852,grass
0.05,3609,0,0,3857,grass
0.05,3609,0,0,3854,grass
0.05,3611,0,0,3852,grass
0.05,3615,0,0,3852,grass
0.05,3611,0,0,3851,grass
0.05,3615,0,0,3854,grass
0.05,3610,0,0,3851,grass
0.05,3606,0,0,3854,grass
0.05,3609,0,0,3851,grass
0.05,3610,0,0,3856,grass
0.05,3610,0,0,3856,grass
0.05,3610,0,0,3855,grass
0.05,3612,0,0,3856,grass
0.05,3615,0,0,3854,grass
0.05,3607,0,0,3854,grass
0.05,3613,0,0,3854,grass
0.05,3615,0,0,3855,grass
0.05,3610,0,0,3857,grass
0.05,3606,0,0,3854,grass
0.05,3612,0,0,3855,grass
0.05,3607,0,0,3855,grass
0.05,3616,0,0,3853,grass
0.05,3613,0,0,3854,grass
0.05,3611,0,0,3860,grass
0.05,3611,0,0,3854,grass
0.054,3607,0,0,3857,grass
0.055,3609,0,0,3856,grass
0.055,3602,0,0,3855,grass
0.055,3603,0,0,3850,grass
0.055,3596,0,0,3855,grass
0.055,3600,0,0,3855,grass
0.055,3603,0,0,3858,grass
0.055,3604,0,0,3857,grass
0.055,3599,0,0,3852,grass
0.055,3606,0,0,3860,grass
0.055,3611,0,0,3850,grass
0.055,3603,0,0,3856,grass
0.055,3604,0,0,3855,grass
0.055,3613,0,0,3860,grass
0.055,3603,0,0,3851,grass
0.055,3605,0,0,3855,grass
0.055,3609,0,0,3860,grass
0.055,3605,0,0,3853,grass
0.055,3603,0,0,3856,grass
0.055,3602,0,0,3853,grass
0.055,3601,0,0,3856,grass
0.055,3600,0,0,3861,grass
0.055,3594,0,0,3856,grass
0.055,3594,0,0,3857,grass
0.055,3596,0,0,3855,grass
0.055,3588,0,0,3856,grass
0.055,3602,0,0,3853,grass
0.055,3599,0,0,3855,grass
0.055,3606,0,0,3855,grass
0.055,3598,0,0,3852,grass
0.055,3600,0,0,3853,grass
0.055,3599,0,0,3855,grass
0.055,3602,0,0,3856,grass
0.055,3606,0,0,3856,grass
0.06,3607,0,0,3853,grass
0.06,3611,0,0,3858,grass
0.06,3607,0,0,3856,grass
0.06,3609,0,0,3858,grass
0.061,3609,0,0,3856,grass
0.061,3609,0,0,3853,grass
0.061,3610,0,0,3855,grass
0.061,3612,0,0,3856,grass
0.061,3612,0,0,3855,grass
0.061,3608,0,0,3858,grass
0.061,3614,0,0,3858,grass
0.061,3605,0,0,3857,grass
0.061,3608,0,0,3858,grass
0.061,3608,0,0,3856,grass
0.061,3610,0,0,3855,grass
0.061,3615,0,0,3855,grass
0.061,3611,0,0,3858,grass
0.061,3610,0,0,3855,grass
0.061,3611,0,0,3856,grass
0.061,3612,0,0,3854,grass
0.061,3611,0,0,3857,grass
0.061,3616,0,0,3857,grass
0.061,3612,0,0,3857,grass
0.065,3613,0,0,3854,grass
0.065,3612,0,0,3857,grass
0.065,3612,0,0,3855,grass
0.065,3616,0,0,3860,grass
0.065,3612,0,0,3857,grass
0.065,3614,0,0,3848,grass
0.065,3611,0,0,3853,grass
0.065,3613,0,0,3857,grass
0.065,3613,0,0,3855,grass
0.065,3615,0,0,3858,grass
